Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,196.199997,199.059998,192.970001,193.089996,174.862244,1893710200
2014-08-01,192.559998,200.820007,190.550003,200.710007,181.762909,1829885000
2014-09-01,200.970001,201.899994,196.050003,197.020004,178.421249,2106462700
2014-10-01,196.699997,201.820007,181.919998,201.660004,183.476852,3943068000
2014-11-01,201.919998,207.869995,200.059998,207.199997,188.517303,1571091800
2014-12-01,206.399994,212.970001,197.860001,205.539993,187.007019,3045171000
2015-01-01,206.380005,206.880005,198.550003,199.449997,182.467682,3183506000
2015-02-01,200.050003,212.240005,197.860001,210.660004,192.723221,1901638100
2015-03-01,210.779999,212.059998,204.119995,206.429993,188.853333,2749923000
2015-04-01,206.389999,212.479996,204.509995,208.460007,191.561829,2036685200
2015-05-01,209.399994,213.779999,206.759995,211.139999,194.024597,1892519900
2015-06-01,211.940002,213.339996,205.279999,205.850006,189.163391,2535242600
2015-07-01,207.729996,213.179993,204.110001,210.500000,194.377365,2452758000
2015-08-01,210.460007,211.309998,182.399994,199.160004,183.905930,4340428600
2015-09-01,193.119995,202.889999,186.929993,191.630005,176.952667,3279512900
2015-10-01,192.080002,209.440002,189.119995,208.889999,193.893478,3220136500
2015-11-01,208.320007,211.660004,202.179993,208.690002,193.707825,1924512800
2015-12-01,209.440002,211.000000,199.830002,203.869995,189.233887,2924882300
2016-01-01,200.490005,201.899994,181.020004,193.720001,180.882675,3712950900
2016-02-01,192.529999,196.679993,181.089996,193.559998,180.733292,2920730800
2016-03-01,195.009995,206.869995,194.449997,205.520004,191.900757,2323306500
2016-04-01,204.350006,210.919998,203.089996,206.330002,193.650711,1910635600
2016-05-01,206.919998,210.690002,202.779999,209.839996,196.945023,1828530900
2016-06-01,209.119995,212.520004,198.649994,209.479996,196.607178,2612406900
2016-07-01,209.479996,217.539993,207.059998,217.119995,204.837402,1648453700
2016-08-01,217.190002,219.600006,214.250000,217.380005,205.082687,1519703200
2016-09-01,217.369995,219.220001,212.309998,216.300003,204.063782,2292393000
2016-10-01,215.820007,216.699997,211.210007,212.550003,201.538879,1725687400
2016-11-01,212.929993,221.820007,208.380005,220.380005,208.963226,2073824400
2016-12-01,220.729996,228.339996,219.149994,223.529999,211.950027,1821910200
2017-01-01,225.039993,229.710007,223.880005,227.529999,217.014420,1482408500
2017-02-01,227.529999,237.309998,226.820007,236.470001,225.541260,1365136600
2017-03-01,238.389999,240.320007,231.610001,235.740005,224.845001,1921474100
2017-04-01,235.800003,239.529999,232.509995,238.080002,228.064743,1549613700
2017-05-01,238.679993,242.080002,235.429993,241.440002,231.283386,1492547000
2017-06-01,241.970001,245.009995,239.960007,241.800003,231.628265,1572753000
2017-07-01,242.880005,248.000000,240.339996,246.770004,237.541946,1055908800
2017-08-01,247.460007,248.910004,241.830002,247.490005,238.235031,1557031500
2017-09-01,247.919998,251.320007,244.949997,251.229996,241.835159,1286405100
2017-10-01,251.490005,257.890015,251.289993,257.149994,248.762222,1320624600
2017-11-01,258.040009,266.049988,255.630005,265.010010,256.365875,1365620900
2017-12-01,264.760010,268.600006,260.760010,266.859985,258.155518,1715222900
2018-01-01,267.839996,286.630005,267.399994,281.899994,274.098877,1985506700
2018-02-01,281.070007,283.059998,252.919998,271.649994,264.132507,2923722000
2018-03-01,271.410004,280.410004,257.829987,263.149994,255.867722,2323561800
2018-04-01,262.549988,271.299988,254.669998,264.510010,258.220184,1998466500
2018-05-01,263.869995,274.250000,259.049988,270.940002,264.497223,1606397200
2018-06-01,272.410004,279.480011,268.489990,271.279999,264.829163,1599001000
2018-07-01,269.510010,284.369995,269.239990,281.329987,275.873383,1266892500
2018-08-01,281.559998,291.739990,279.160004,290.309998,284.679260,1308443700
2018-09-01,289.839996,293.940002,286.709991,290.720001,285.081329,1228103300
2018-10-01,292.109985,293.209991,259.850006,270.630005,266.582306,3024345800
2018-11-01,271.600006,281.220001,263.070007,275.649994,271.527222,2021061200
2018-12-01,280.279999,280.399994,233.759995,249.919998,246.182022,3102780500
2019-01-01,245.979996,270.470001,243.669998,269.929993,267.445465,2048691700
2019-02-01,270.149994,281.309998,267.829987,278.679993,276.114929,1371716300
2019-03-01,280.440002,285.179993,272.420013,282.480011,279.879974,1678081300
2019-04-01,284.700012,294.450012,284.399994,294.019989,292.596893,1209204700
2019-05-01,294.720001,294.950012,275.239990,275.269989,273.937653,1845593200
2019-06-01,275.309998,296.309998,273.089996,293.000000,291.581848,1340435600
2019-07-01,296.679993,302.230011,294.329987,297.429993,297.429993,1110504200
2019-08-01,297.600006,300.869995,290.899994,292.619995,292.619995,258564300
